2012-05-08 23:03:25 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1048: Column 'order' cannot be null</span> in [/Users/kyledavis/Sites/projectx/cake/libs/model/datasources/dbo_source.php, line 684]
2012-05-09 13:16:38 Warning: Warning (2): array_map() [<a href='http://php.net/function.array-map'>function.array-map</a>]: Argument #2 should be an array in [/Users/kyledavis/Sites/projectx/cake/libs/controller/components/auth.php, line 342]
2012-05-09 13:16:38 Warning: Warning (2): in_array() [<a href='http://php.net/function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [/Users/kyledavis/Sites/projectx/cake/libs/controller/components/auth.php, line 345]
2012-05-09 13:16:38 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/kyledavis/Sites/projectx/cake/libs/debugger.php:686) in [/Users/kyledavis/Sites/projectx/cake/libs/controller/controller.php, line 742]
2012-05-09 13:58:12 Warning: Warning (2): array_map() [<a href='http://php.net/function.array-map'>function.array-map</a>]: Argument #2 should be an array in [/Users/kyledavis/Sites/projectx/cake/libs/controller/components/auth.php, line 342]
2012-05-09 13:58:12 Warning: Warning (2): in_array() [<a href='http://php.net/function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [/Users/kyledavis/Sites/projectx/cake/libs/controller/components/auth.php, line 345]
2012-05-09 13:58:12 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/kyledavis/Sites/projectx/cake/libs/debugger.php:686) in [/Users/kyledavis/Sites/projectx/cake/libs/controller/controller.php, line 742]
2012-05-09 14:16:50 Warning: Warning (2): array_map() [<a href='http://php.net/function.array-map'>function.array-map</a>]: Argument #2 should be an array in [/Users/kyledavis/Sites/projectx/cake/libs/controller/components/auth.php, line 342]
2012-05-09 14:16:50 Warning: Warning (2): in_array() [<a href='http://php.net/function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [/Users/kyledavis/Sites/projectx/cake/libs/controller/components/auth.php, line 345]
2012-05-09 14:16:50 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/kyledavis/Sites/projectx/cake/libs/debugger.php:686) in [/Users/kyledavis/Sites/projectx/cake/libs/controller/controller.php, line 742]
2012-05-09 19:51:17 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/kyledavis/Sites/projectx/cake/libs/debugger.php:686) in [/Users/kyledavis/Sites/projectx/cake/libs/controller/controller.php, line 742]
2012-05-09 20:15:29 Warning: Warning (2): Division by zero in [/Users/kyledavis/Sites/projectx/app/models/experiment.php, line 126]
2012-05-09 20:18:31 Warning: Warning (512): Method NumberHelper::toPercent does not exist in [/Users/kyledavis/Sites/projectx/cake/libs/view/helper.php, line 154]
2012-05-09 20:42:59 Warning: Warning (2): Missing argument 1 for ExperimentsController::setdates() in [/Users/kyledavis/Sites/projectx/app/controllers/experiments_controller.php, line 7]
2012-05-09 20:42:59 Warning: Warning (2): strtotime() expects parameter 2 to be long, string given in [/Users/kyledavis/Sites/projectx/app/controllers/experiments_controller.php, line 16]
2012-05-09 20:56:05 Warning: Warning (2): preg_match() [<a href='http://php.net/function.preg-match'>function.preg-match</a>]: Empty regular expression in [/Users/kyledavis/Sites/projectx/cake/libs/validation.php, line 946]
2012-05-09 20:56:48 Warning: Warning (2): Missing argument 1 for ExperimentsController::setdates() in [/Users/kyledavis/Sites/projectx/app/controllers/experiments_controller.php, line 7]
